	位元組順序記號（英语：byte-order mark，BOM）是位於碼點U+FEFF的統一碼字符的名称。當以UTF-16或UTF-32來將UCS/統一碼字符所組成的字串編碼時，這個字符被用來標示其位元組序。它常被用來當做標示文件是以UTF-8、UTF-16或UTF-32編碼的記號。
谷歌退出中国	(Goolge|google|谷歌).*退出.*中国	谷歌退出中国事件是指2010年Google公司因内容审查问题与中国政府交涉，并最终关闭中国版网页搜索服务，转用香港域名及服务器为内地用户提供简体中文服务的事件。
上海11.15大火	上海.*大火|胶州路.*大火|上海.*火灾	上海11.15大火
钱云会	钱云会	請注意現時使用這個名稱並不代表對其認可，應先進行討論，待取得共識後，再考量是否維持原狀或更名（移動）至更適合的標題。 
邓玉娇	邓玉娇	邓玉娇案，又称“邓玉娇刺官案”，是2009年5月10日晚发生于中國湖北省恩施州巴东县野三关镇的一起宾馆女服务员出于正当防卫目的意外刺死、刺伤镇人民政府人员的刑事案件。此案发生后迅速名震全國，争议甚广，邓玉娇也被许多民众称赞为“当代烈女”。
李庄	李庄	李庄可以指：
李刚	李启铭|我爸是李刚	李剛，常见人名，刚：坚强、刚强，与“柔”相对。可以是指：
宜黄自焚	钟九如|钟如琴|钟如凤|钟如奎|罗志凤	宜黄自焚
山西问题疫苗	问题疫苗	山西问题疫苗
重庆打黑事件	重庆.*打黑|文强	重庆打黑事件
江苏盐城自焚	江苏盐城.*自焚	江苏盐城自焚
玉树地震	玉树.*地震	2010年玉树地震，发生于北京时间2010年4月14日，其中震级最大的一次发生于7时49分，震中位于中国青海省玉树藏族自治州玉树县境内，其規模達到7.1Ms、深度為14公里。該地震導致至少2698人遇难[1]，270人失踪[1]，12135人受伤。縣城結古鎮全部停電，由於大部分建築都是土木結構，重災區結古鎮附近西杭村的民屋几乎全部（99%）倒塌[2]。此外整个玉树州的70%学校房屋垮塌[3]。震後，當地民眾與僧侶展開自救，中國政府及中國人民解放軍也展开了救援行动。
﻿舟曲泥石流	舟曲.*泥石流	﻿舟曲泥石流
地沟油	地沟油	地溝油，是指從地溝的废弃食物或殘渣中提煉出的油，廣義的地沟油還包括餿水油、萬年油等废弃食用油；近年中國大陸不法之徒从餐馆饭店等回收已经使用过的废弃油进行重新加工处理，將地溝油當食用油，引起輿論關注。2010年，據中國專家估計，這種食用油占全中國大陸市場十分之一，當中包括街邊攤檔和高級餐館，用於泡制各式食物，如油條、羊肉串、水煮魚、麻辣火鍋等等，食客根本不知道炮制這些食物的食油有毒[1][2]。地溝油經妥善處理，可制作肥皂、生質柴油等產品。
北京治堵	北京.*治堵|北京.*堵车	北京治堵
北京车牌摇号	车牌.*摇号|北京.*车牌	北京车牌摇号
奶粉	奶粉.*三聚氰胺|奶粉*性早熟|蒙牛.*中毒	奶粉主要是指以牛的乳汁为原料，经过消毒、脱脂、脱水、干燥等工艺制成的粉末。也可指为使用山羊等其他动物的乳汁生产的产品。
上海眼药门	上海眼药	上海眼药门
家乐福价格欺诈	家乐福.*价格欺诈	家乐福价格欺诈
矿难	矿难	矿难，指在采矿过程中发生的事故，通常造成伤亡的危险性极大。世界上每年至少有几千人死于矿难。矿难发生的频率在中国等发展中国家尤为突出[1]。在2003年，中國生產了世界約35%的煤，但在煤礦事故死亡人數上卻佔約80%[2]。
菲律宾人质事件	菲律宾.*人质	API，菲律賓政府稱為黎剎公園人質事件（英语：Rizal Park Hostage-taking Incident）[3]，香港政府稱為馬尼拉人質事件〈英语：Manilla Hostage Crisis）[4]或菲律賓人質事件[5]，中國政府稱為8‧23香港人質事件[6]。
智障奴工	智障.*奴工	智障奴工
