topic	tweets_count	comments_count	reposts_count	intro
上海11.15大火	2536	13297	42862	上海“11·15”特别重大火灾，中国官方全称上海市静安区胶州路公寓大楼“11.15”特别重大火灾事故，是指北京时间2010年11月15日14时许，发生于上海市静安区胶州路728弄1号一幢28层的公寓大楼的一起特别重大火灾。据官方媒体报道，火灾共造成58人死亡，受伤人数71人。
上海地铁10号线	38	181	788	上海轨道交通10号线，编号M1，为上海轨道交通运营中的线路之一。10号线被部分媒体称为中国首条无人驾驶的全自动轨道交通线。10号线一期由新江湾城站至虹桥火车站站，支线在龙溪路站连接航华支线，抵达航中路站。线路全长36千米，其中龙溪路站以东及支线部分于2010年4月10日先期开通试运营，而主线龙溪路站以西已經于2010年11月30日开通。第二期由新江湾城站延伸至外高桥，长9.4公里，共设5站，为上海2010～2020年规划建设线路。
北京治堵	4773	41305	160575	2005年至2010年，北京市境内汽车数量从258万猛增至469万，引发了空前的拥堵。虽然自2008年奥运会之后，北京实施了尾号限行，但仍然难以缓解拥堵。为了破解这个难题，北京市政府于2010年12月23日公布了《关于进一步推进缓解首都交通拥堵工作意见》，推出包括摇号上牌、提高中心城区停车费、加快建设公共交通系统等一系列强有力的措施缓解北京的拥堵局面。
夏俊峰案	8419	95490	269336	夏俊峰案，为中国大陆一个引起强烈关注的社会案件。
奶粉	667	26196	114091	阜阳劣质奶粉事件是指自2003年以来，发生在中国大陆地区制造、销售劣质奶粉和一系列因为食用“劣质奶粉”导致婴幼儿致病、致死相关事件的总称。
小悦悦事件	2446	25423	58066	小悦悦事件( 英文：Death of Wang Yue ) 發生於2011年10月13日17时25分广东省佛山市南海区黄岐镇广佛五金城，一名2岁女童王悦（乳名“小悦悦”，其父母王持昌和曲菲菲为山东迁入的外来工，但深究发现其父母身份可疑。）由于父母疏忽过失，在阴雨天黑夜独自跑出家门百米外后，先后被两辆汽车撞伤倒地，最初路过的数名行人未及时施救（主流媒体称有18名，但其实据深究疑似顶多13名），但幸路人陈贤妹（生于1953年，佛山本地人，职业是清洁工；主流媒体称陈氏为第19名路人）救起王悦，随后被送往广州军区广州总医院急救。第二天两位肇事司机中的第一位自首。2011年10月21日凌晨零时三十二分，小悦悦在广州军区广州总医院宣告抢救无效离世。
山西问题疫苗	18	67	202	山西疫苗事件，是指2007年期间，发生于中国山西的多起儿童注射疫苗后致伤致死的事件。
文革	89389	915885	2509344	无产阶级文化大革命，通称文化大革命，简称文革，是中华人民共和国始于1966年的一场重大政治运动，被广泛认为是自1949年建国至今最动荡不安的灾难性阶段，常被冠以“十年动乱”、“十年浩劫”、「文化浩劫」或「文化滅絕」。
李双江儿子打人	63	2053	2463	李天一打人事件，是2011年9月6日发生于北京市海淀区西山华府小区内的一起民事纠纷。宝马车主李天一（现名李冠丰）和奥迪车主苏某因与某业主夫妻纠纷，而殴打该业主夫妻。因宝马车主李天一为中国歌唱家、中国人民解放军文职干部李双江之子，而引起关注。
渤海湾油田溢油事故	12	395	634	蓬莱19-3油田溢油事故（或“2011年渤海湾油田溢油事故”）是指中海油与美国康菲合作开发的渤海蓬莱19-3油田自2011年6月中上旬以来发生油田溢油事件，这也是近年来中国内地第一起大规模海底油井溢油事件。据康菲石油中国有限公司（简称“康菲”）统计，共有约700桶原油渗漏至渤海海面，另有约2,500桶矿物油油基泥浆渗漏并沉积到海床。国家海洋局表示，这次事故已造成5,500平方公里海水受污染，大致相当于渤海面积的7％。
