中石油添加茅台	60	403	1145
云南地震	40	283	478
家乐福价格欺诈	104	823	2438
王立军事件	14407	246034	829234
舟曲泥石流	196	7861	16997
北京车牌摇号	2624	31508	92431
李刚	1156	6381	18751
毒胶囊	6432	124340	374235
玉树地震	1014	34066	37238
航天	24110	228771	498618
高速假期免过路费	35	318	766
三亚宰客	285	7248	20916
北京治堵	4773	41305	160575
地沟油	30226	252541	861847
宜黄自焚	160	183	539
湄公河案	2968	26376	47081
老酸奶	1390	44897	166603
郭美美	17132	170337	465405
钱明奇	504	3886	9853
京沪高铁开通	9279	38768	80541
伦敦奥运会	57297	722591	2200948
养老金	2763	68079	188351
智障奴工	143	7568	42236
李双江儿子打人	63	2053	2463
谷歌退出中国	226	2641	4251
限购令-国八条	8648	86254	228132
高晓松酒驾	164	324	532
中国渔船被扣	353	24729	43897
会理领导照ps事件	7	23	42
十八大	84090	607883	2055201
山西问题疫苗	18	67	202
温州动车事故	7563	98568	288682
各地暴雨	34703	430685	1824397
吴英案	6575	77975	216647
朴槿惠当选韩国总统	1960	52558	176284
柴静看见	2228	19217	83198
矿难	2478	24311	85368
空气污染	37592	298747	717263
上海11.15大火	2536	13297	42862
抵制排污项目	2532	36120	97180
电影1942	4591	44441	119672
石油调价	480	15492	36597
个税起征点上调至3500	478	12381	27373
乔布斯逝世	43012	318969	1357039
奶粉	667	26196	114091
微博政务	136	292	371
成都富士康爆炸	21	95	868
李庄	23815	197117	455244
薄熙来	12408	241483	1028328
上海染色馒头	244	1454	6628
乌坎事件	3756	32472	89291
卡扎菲身亡	4704	42722	96177
国庆长假堵车	863	13207	35938
城管打人系列事件	85710	717341	2003001
渤海湾油田溢油事故	12	395	634
夏俊峰案	8419	95490	269336
富士康员工自杀	509	5783	13705
航母	38122	459050	1267991
计划生育	24631	252803	618969
赖昌星	2221	33688	94225
速成鸡	2251	66142	259841
邓玉娇	247	1734	3960
黄海军演	255	4987	11068
故宫系列事件	242	4935	8889
方舟子打假	10850	280452	318285
本拉登身亡	1545	6605	20856
校车事故	1707	53139	180771
火车票降价	629	19503	52663
理性爱国，勿伤同胞	21687	165667	588730
莫言	89470	823214	2527632
重庆打黑事件	12243	200157	517066
公知约架	41808	361600	489555
小悦悦事件	2446	25423	58066
少年被充气泵塞肛门穿孔	2189	22900	41391
扶老人被诬告	817	14009	23952
3B大战	31668	266155	644193
双汇瘦肉精	3036	35539	133334
台湾塑化剂	10748	173521	613770
微公益	16565	114959	593524
微博反腐	12899	307408	789503
日本地震	15385	215191	622104
活熊取胆	2372	49013	134377
狼爸教育	1435	11157	21327
申纪兰	609	11979	25292
重庆不雅视频	6111	286997	547594
钱云会	2247	27680	96209
上海地铁10号线	38	181	788
周克华抢劫案	20758	345570	849221
微博打拐及解救乞讨儿童	10327	66987	273639
文革	89389	915885	2509344
深圳跑车飙车案	1702	35118	78002
联防队员打杂民宅强奸女子	99	7290	15944
药家鑫	12275	84512	107376
菲律宾人质事件	146	4916	9973
